
myid: 63, iteration: 2470, diff: 0.0010

myid: 62, iteration: 4030, diff: 0.0010

myid: 14, iteration: 4230, diff: 0.0010

myid: 0, iteration: 4410, diff: 0.0010

myid: 15, iteration: 4530, diff: 0.0010

myid: 16, iteration: 4800, diff: 0.0010

myid: 17, iteration: 5050, diff: 0.0010

myid: 61, iteration: 5230, diff: 0.0010

myid: 18, iteration: 5270, diff: 0.0010

myid: 19, iteration: 5460, diff: 0.0010

myid: 20, iteration: 5610, diff: 0.0010

myid: 21, iteration: 5740, diff: 0.0010

myid: 22, iteration: 5840, diff: 0.0010

myid: 23, iteration: 5910, diff: 0.0010

myid: 24, iteration: 5970, diff: 0.0010

myid: 25, iteration: 6000, diff: 0.0010

myid: 26, iteration: 6030, diff: 0.0010

myid: 27, iteration: 6040, diff: 0.0010

myid: 28, iteration: 6050, diff: 0.0010

myid: 30, iteration: 6060, diff: 0.0010

myid: 31, iteration: 6060, diff: 0.0010

myid: 29, iteration: 6060, diff: 0.0010

myid: 35, iteration: 6070, diff: 0.0010


myid: 34, iteration: 6070, diff: 0.0010

myid: 32, iteration: 6070, diff: 0.0010
myid: 33, iteration: 6070, diff: 0.0010

myid: 36, iteration: 6080, diff: 0.0010

myid: 37, iteration: 6090, diff: 0.0010

myid: 38, iteration: 6100, diff: 0.0010

myid: 39, iteration: 6120, diff: 0.0010

myid: 40, iteration: 6150, diff: 0.0010

myid: 41, iteration: 6200, diff: 0.0010

myid: 60, iteration: 6210, diff: 0.0010

myid: 42, iteration: 6280, diff: 0.0010

myid: 43, iteration: 6390, diff: 0.0010

myid: 44, iteration: 6560, diff: 0.0010

myid: 45, iteration: 6790, diff: 0.0010

myid: 59, iteration: 7020, diff: 0.0010

myid: 46, iteration: 7110, diff: 0.0010

myid: 1, iteration: 7230, diff: 0.0010

myid: 47, iteration: 7500, diff: 0.0010

myid: 58, iteration: 7680, diff: 0.0010

myid: 48, iteration: 7930, diff: 0.0010

myid: 57, iteration: 8200, diff: 0.0010

myid: 49, iteration: 8330, diff: 0.0010

myid: 56, iteration: 8590, diff: 0.0010

myid: 50, iteration: 8660, diff: 0.0010

myid: 55, iteration: 8860, diff: 0.0010

myid: 51, iteration: 8900, diff: 0.0010

myid: 54, iteration: 9000, diff: 0.0010

myid: 52, iteration: 9010, diff: 0.0010

myid: 53, iteration: 9030, diff: 0.0010

myid: 2, iteration: 9450, diff: 0.0010

myid: 3, iteration: 11270, diff: 0.0010

myid: 4, iteration: 12780, diff: 0.0010

myid: 5, iteration: 14030, diff: 0.0010

myid: 6, iteration: 15050, diff: 0.0010

myid: 7, iteration: 15860, diff: 0.0010

myid: 8, iteration: 16460, diff: 0.0010

myid: 13, iteration: 16790, diff: 0.0010

myid: 9, iteration: 16870, diff: 0.0010

myid: 12, iteration: 17060, diff: 0.0010

myid: 10, iteration: 17080, diff: 0.0010

myid: 11, iteration: 17110, diff: 0.0010
Execution time: 34580 ms.
